Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_300klines.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

chary-robe,c01b8d9,branch_commit,2023-09-30T10:51:41,,2.4494618,0.0020283,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,4,1,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,d4fd782dc749abd785bf11d9cb39be62,163d0282bb51dd0ef743a79992ab3706,dcde099eeaad74bf6b487c25dfd27ec1,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

ample-iglu,50e2210,branch_commit,2023-09-30T10:51:31,,-4.5260184,0.0075553,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,faef25486f3abdb69c95c1fd0e3dfb10,596a439758be0f9ff09edb176d33799d,c5f863015c7a2c4600e115ba4b68ba48,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

muted-mome,7082e86,branch_commit,2023-09-30T10:51:15,,-1.692321,0.0051011,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,d2c6c00a1a4213c01ffc8ea233663390,5863f74d207946ca49e1a3c944961ca9,945ade8921e94c1747029ffc92d443f9,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

paper-ally,a9094a4,branch_commit,2023-09-30T10:50:58,,1.5353121,0.0020425,"[1, 10, 15]",1,1,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,3,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,82376e9058a716b04bcbaea69c591b8f,d16b177364a71860c7b7c2c870343642,b87402d83af266b640da0988c966f13b,63b8f5c04bd003ad074836b1e38e0d9f,04ee58d78bcd34e5c087cd51d14096df,22c9111b6e2b0aaf32eca3ca3709ea48,2a43b6b915386921524d2d667ade627e,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

terse-hose,6b3792d,branch_commit,2023-09-30T10:50:48,,-1.8619772,0.0074625,"[1, 10, 15]",1,10,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,ac45596096649ddfc285e3898e139b90,4ba14704be4f682055e4b037b17b550f,c8334d613de86485ac0c0fd414b805f9,30a293dd56fc1f5fb5e9c9567ea88a7e,af71a705ccb9ca34aacdfa6758c8f3c2,2a2e3fbd64442119c9fe8c48b8958897,33eca14028804f5435ea3be99d802625,,,,,,,,,,,,,,,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

nicer-sley,c7eb0b3,branch_commit,2023-09-30T10:50:31,,-0.7651728,0.0050615,"[1, 10, 15]",1,5,calc_sharpe,./master/data-wip,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,2,91cd52d7e74357426ce1934693d3c49e,2b46217cc891e09ef4cb0daa9e93805b,,,,,,,,,,,,,,,1c6b83827fba420ffc771d3eb9158906,6e391f87139f95a3f1ebdebf00b204c4,9c4d5aa2cfba6dc5f336977399de4897,e4f8ef9fb24f3397c9e205c5a3bbd276,25ea9bc88d31c56ed5faedc2d90b8461,5e52f87d8a2d5d56b4bafd1021d9e997,4646e2d98ee7eb71ade564bcfd115339,85da00891c3defce761f3e72451ec99b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,af27206ba729dde687d355368c4e118c,86760c04058974ecfdbed3cdd504f1a5,4b520ae7eb8b1c2f6cec217d50b70a79,c8d1c328f00399577ab3b3629ec90249

